COUNTY,LAT,LONG,POPULATION,STATE,STATE_ABBREVIATION
Stone,30.702516,-89.1548832,1887,Mississippi,MS
Stone,36.5508476,-93.4618573,1659,Missouri,MO
Stonewall,33.1830644,-100.2451333,81,Texas,TX
Storey,39.2964816,-119.6587133,49,Nevada,NV
Story,41.8575275,-93.6526192,9746,Iowa,IA
Strafford,43.2753082,-71.1700041,10390,New Hampshire,NH
Stutsman,46.646055,-99.407364,1380,North Dakota,ND
Sublette,42.5318554,-110.2578681,583,Wyoming,WY
Suffolk,42.2550833,-71.1292203,55429,Massachusetts,MA
Suffolk,40.6824535,-73.4143813,106347,New York,NY
Suffolk (city),36.6271154,-76.8031971,5907,Virginia,VA
Sullivan,39.073459,-87.570355,1490,Indiana,IN
Sullivan,40.3857433,-93.3312686,456,Missouri,MO
Sullivan,43.246634,-72.3839312,2522,New Hampshire,NH
Sullivan,41.5915529,-74.9955559,5472,New York,NY
Sullivan,41.4616958,-76.7178164,331,Pennsylvania,PA
Sullivan,36.5268599,-82.5719678,9913,Tennessee,TN
Sully,44.852798,-100.1936578,75,South Dakota,SD
Summers,37.5109418,-80.9134822,665,West Virginia,WV
Summit,39.5563932,-106.1702448,1205,Colorado,CO
Summit,41.0208878,-81.6286516,39677,Ohio,OH
Summit,40.6523461,-111.5019283,2612,Utah,UT
Sumner,37.0769318,-97.626852,2116,Kansas,KS
Sumner,36.3399686,-86.6079217,10057,Tennessee,TN
Sumter,32.4263843,-88.3467043,1288,Alabama,AL
Sumter,28.5455315,-82.0805317,2600,Florida,FL
Sumter,31.9763123,-84.0888387,2867,Georgia,GA
Sumter,33.8484488,-80.5407669,8073,South Carolina,SC
Sunflower,33.3473386,-90.5762836,2190,Mississippi,MS
Surry,36.2756505,-80.9146243,5276,North Carolina,NC
Surry,37.180741,-76.977829,468,Virginia,VA
Susquehanna,41.8067237,-76.0961649,2792,Pennsylvania,PA
Sussex,38.4775616,-75.5649307,11844,Delaware,DE
Sussex,40.923063,-74.73579,11110,New Jersey,NJ
Sussex,36.8166017,-77.481624,815,Virginia,VA
Sutter,39.0609213,-121.8271551,7321,California,CA
Sutton,30.441414,-100.5606199,326,Texas,TX
Suwannee,30.1374568,-82.9783382,2667,Florida,FL
Swain,35.373495,-83.4959895,1226,North Carolina,NC
Sweet Grass,45.4657978,-110.1455207,228,Montana,MT
Sweetwater,41.0996394,-109.8888227,2933,Wyoming,WY
Swift,45.2467189,-96.00477,686,Minnesota,MN
Swisher,34.3618188,-101.7428975,542,Texas,TX
Switzerland,38.7903654,-85.0909928,632,Indiana,IN
Talbot,32.5193383,-84.5947552,514,Georgia,GA
Talbot,38.7732061,-76.3531885,2121,Maryland,MD
Taliaferro,33.559319,-82.8752721,112,Georgia,GA
Talladega,33.0813431,-86.3922113,5457,Alabama,AL
Tallahatchie,33.7330582,-90.2000447,992,Mississippi,MS
Tallapoosa,32.9167188,-85.940589,2410,Alabama,AL
Tama,41.9279439,-92.5870914,1304,Iowa,IA
Taney,36.5109586,-93.2741586,3512,Missouri,MO
Tangipahoa,30.3628461,-90.3585938,10625,Louisiana,LA
Taos,36.2370981,-106.0090738,1929,New Mexico,NM
Tarrant,32.7875407,-97.5237895,126940,Texas,TX
Tate,34.5906684,-89.9178183,2407,Mississippi,MS
Tattnall,31.9229045,-81.9624458,1662,Georgia,GA
Taylor,29.6800699,-83.3866487,1231,Florida,FL
Taylor,32.4886512,-84.4103956,816,Georgia,GA
Taylor,40.7476852,-94.8744485,405,Iowa,IA
Taylor,37.3852284,-85.3730807,1930,Kentucky,KY
Taylor,32.473616,-100.0325494,10561,Texas,TX
Taylor,39.2668825,-80.1735978,827,West Virginia,WV
Taylor,45.0859856,-90.7472389,1193,Wisconsin,WI
Tazewell,40.4144406,-89.666079,8757,Illinois,IL
Tazewell,37.009601,-81.8077909,2737,Virginia,VA
Tehama,39.8846521,-122.5865126,4094,California,CA
Telfair,31.9756655,-83.0635073,1039,Georgia,GA
Teller,38.7058094,-105.0882779,1474,Colorado,CO
Tensas,31.8737184,-91.487345,326,Louisiana,LA
Terrebonne,29.358143,-90.7001183,8618,Louisiana,LA
Terrell,30.2613018,-102.3010735,60,Texas,TX
Terry,33.058133,-102.4746773,838,Texas,TX
Teton,43.6140419,-111.1838809,596,Idaho,ID
Teton,47.813941,-112.4738128,413,Montana,MT
Teton,43.4486227,-110.9668908,918,Wyoming,WY
Texas,37.1444221,-92.0928699,1632,Missouri,MO
Texas,36.5811358,-101.9154556,1654,Oklahoma,OK
Thayer,40.2713681,-97.7935045,322,Nebraska,NE
Thomas,30.7707983,-84.0437041,3351,Georgia,GA
Thomas,39.4247204,-101.3437832,734,Kansas,KS
Thomas,41.9139384,-100.304871,47,Nebraska,NE
Throckmorton,33.1952021,-99.2680242,107,Texas,TX
Thurston,42.1111884,-96.7330887,598,Nebraska,NE
Thurston,46.7882023,-123.1254806,16886,Washington,WA
Tift,31.3308409,-83.5985786,3585,Georgia,GA
Tillamook,45.1129512,-123.9390438,1479,Oregon,OR
Tillman,34.5146304,-99.1147717,546,Oklahoma,OK
Tioga,42.0460248,-76.5291141,3413,New York,NY
Tioga,41.8301608,-77.6128131,3389,Pennsylvania,PA
Tippah,34.6517868,-89.0255487,1735,Mississippi,MS
Tippecanoe,40.3193725,-87.048999,16867,Indiana,IN
Tipton,40.2949877,-86.2218159,1040,Indiana,IN
Tipton,35.4571093,-89.9383301,4659,Tennessee,TN
Tishomingo,34.5464326,-88.2557414,1261,Mississippi,MS
Titus,33.146015,-95.1079522,2452,Texas,TX
Todd,36.6847538,-87.0761673,765,Kentucky,KY
Todd,45.7974709,-95.091489,1689,Minnesota,MN
Todd,43.1393615,-101.0449179,834,South Dakota,SD
Tolland,41.6328641,-72.3673209,13849,Connecticut,CT
Tom Green,31.5951056,-100.7993575,8675,Texas,TX
Tompkins,42.3431503,-76.618094,12674,New York,NY
Tooele,40.0595451,-113.8778108,4570,Utah,UT
Toole,48.7225197,-112.0054145,339,Montana,MT
Toombs,32.2385777,-82.4177731,2004,Georgia,GA
Torrance,34.3979136,-106.2436121,1011,New Mexico,NM
Towner,48.6053383,-99.3739094,111,North Dakota,ND
Towns,34.9589184,-83.9004041,851,Georgia,GA
Traill,47.253416,-97.430516,603,North Dakota,ND
Transylvania,35.0934446,-82.9948581,2012,North Carolina,NC
Traverse,45.6076524,-96.8182797,224,Minnesota,MN
Travis,30.1328055,-97.8746868,67887,Texas,TX
Treasure,45.9925275,-107.2987305,47,Montana,MT
Trego,39.0091361,-100.0813918,187,Kansas,KS
Trempealeau,44.1334176,-91.5250026,2131,Wisconsin,WI
Treutlen,32.4002719,-82.5675125,416,Georgia,GA
Trigg,36.8177481,-87.8336986,946,Kentucky,KY
Trimble,38.5962162,-85.3330412,573,Kentucky,KY
Trinity,40.1231769,-123.4462791,788,California,CA
Trinity,30.9647278,-95.3258947,852,Texas,TX
Tripp,43.289423,-100.0901885,388,South Dakota,SD
Troup,32.8428999,-85.0918453,5299,Georgia,GA
Trousdale,36.4260407,-86.1528995,532,Tennessee,TN
Trumbull,41.1411763,-80.8029078,13290,Ohio,OH
Tucker,39.0346976,-79.5587844,438,West Virginia,WV
Tulare,35.8568588,-119.5075255,38741,California,CA
Tulsa,36.1507674,-96.1995898,42703,Oklahoma,OK
Tunica,34.5173619,-90.4145265,840,Mississippi,MS
Tuolumne,37.8616255,-120.4803222,3152,California,CA
Turner,31.7202498,-83.693961,710,Georgia,GA
Turner,43.4226107,-97.3100614,510,South Dakota,SD
Tuscaloosa,33.0780377,-87.8192259,17592,Alabama,AL
Tuscarawas,40.275813,-81.585062,7026,Ohio,OH
Tuscola,43.4698587,-83.6763108,4287,Michigan,MI
Twiggs,32.6905069,-83.4985775,511,Georgia,GA
Twin Falls,42.2268929,-115.0090325,5622,Idaho,ID
Tyler,30.6014346,-94.4138051,1279,Texas,TX
Tyler,39.4570654,-81.036844,477,West Virginia,WV
Tyrrell,35.856141,-76.1938368,241,North Carolina,NC
Uinta,41.0161324,-110.6449304,1566,Wyoming,WY
Uintah,39.8495869,-109.6808962,2332,Utah,UT
Ulster,41.7308003,-74.5133604,12978,New York,NY
Umatilla,45.0886688,-118.8825062,5611,Oregon,OR
Unicoi,36.0176234,-82.5601262,992,Tennessee,TN
Union,33.071881,-92.818579,2819,Arkansas,AR
Union,29.9297556,-82.431439,935,Florida,FL
Union,34.7357944,-84.0724873,1076,Georgia,GA
Union,37.5120696,-89.4581533,1128,Illinois,IL
Union,39.6911461,-85.0202359,506,Indiana,IN
Union,41.0398865,-94.4618334,881,Iowa,IA
Union,37.5668063,-88.0190479,1464,Kentucky,KY
Union,32.9496401,-92.7211461,1499,Louisiana,LA
Union,34.41783,-89.2079437,1720,Mississippi,MS
Union,40.6051185,-74.4445225,37634,New Jersey,NJ
Union,35.8784284,-103.3231419,274,New Mexico,NM
Union,34.9161547,-80.7314151,13068,North Carolina,NC
Union,40.0974769,-83.4406417,2918,Ohio,OH
Union,45.0776545,-117.9937623,1934,Oregon,OR
Union,40.8663452,-77.3140169,3741,Pennsylvania,PA
Union,34.5480962,-81.4926087,1931,South Carolina,SC
Union,42.7284033,-96.6977163,985,South Dakota,SD
Union,36.259656,-83.8259895,1012,Tennessee,TN
Upshur,32.6416948,-95.0756244,2523,Texas,TX
Upshur,38.707115,-80.3749492,1905,West Virginia,WV
Upson,32.8791672,-84.3305661,1887,Georgia,GA
Upton,31.2288695,-102.162001,241,Texas,TX
Utah,39.9044484,-111.9989801,45959,Utah,UT
Uvalde,29.1510115,-100.01587,2233,Texas,TX
Val Verde,29.358463,-100.7768832,3804,Texas,TX
Valencia,34.7764651,-107.5645618,5999,New Mexico,NM
Valley,44.7202415,-116.0548579,493,Idaho,ID
Valley,48.4776347,-107.0598576,478,Montana,MT
Valley,41.4182841,-99.1439895,239,Nebraska,NE
Van Buren,35.5133058,-92.6721874,951,Arkansas,AR
Van Buren,40.6198504,-92.056237,551,Iowa,IA
Van Buren,42.2859917,-86.2685029,5961,Michigan,MI
Van Buren,35.6185265,-85.4857953,229,Tennessee,TN
Van Wert,40.7434745,-84.7696512,1734,Ohio,OH
Van Zandt,32.4279781,-95.6619831,3480,Texas,TX
Vance,36.19973,-78.4465588,3690,North Carolina,NC
Vanderburgh,37.9264566,-87.665531,12899,Indiana,IN
Venango,41.2000071,-79.8726306,3543,Pennsylvania,PA
Ventura,34.03734,-119.800786,64703,California,CA
Vermilion,39.9161219,-87.9147906,5730,Illinois,IL
Vermilion,29.8129648,-92.405155,3925,Louisiana,LA
Vermillion,39.6124058,-87.448085,1032,Indiana,IN
Vernon,30.9782675,-93.4911394,3514,Louisiana,LA
Vernon,37.7030471,-94.5238163,1556,Missouri,MO
Vernon,43.4615058,-91.131141,2086,Wisconsin,WI
Victoria,28.7313793,-97.0427156,6163,Texas,TX
Vigo,39.273917,-87.4967133,8463,Indiana,IN
Vilas,45.9700635,-89.9119186,1036,Wisconsin,WI
Vinton,39.1927181,-82.6948227,900,Ohio,OH
Virginia Beach (city),36.6127473,-76.0241393,27459,Virginia,VA
Virginia Beach City,36.7836489,-76.071784,2921,Virginia,VA
Volusia,28.8837303,-81.3252873,31274,Florida,FL
Wabash,38.3829701,-87.9055861,811,Illinois,IL
Wabash,40.6677692,-85.8301274,2585,Indiana,IN
Wabasha,44.2860679,-92.5275694,1541,Minnesota,MN
Wabaunsee,38.8620245,-96.4374367,399,Kansas,KS
Wadena,46.3384387,-94.9346506,1133,Minnesota,MN
Wagoner,35.8835812,-95.5917407,4632,Oklahoma,OK
Wahkiakum,46.2950184,-123.617602,198,Washington,WA
Wake,35.6404476,-78.990037,64887,North Carolina,NC
Wakulla,30.1056662,-84.5580025,1910,Florida,FL
Waldo,44.3961145,-69.4306296,2498,Maine,ME
